"ExpenditureKey","IOSectorKey","Share"
"EG6102",125,100
"EG6103",125,100
"EG6201",126,100
"EG6202",126,100
"EG6203",126,50
"EG6203",123,50
"EG6301",118,100
"EG6302",92,50
"EG6302",125,50
"EG6303",125,100
"EG6304",118,33
"EG6304",92,33
"EG6304",125,33
"EG6401",96,100
"EG6402",96,100
"EG6403",96,100
"EG6404",121,100
"EG6405",121,100
"EG6406",121,100
"EG6501",93,50
"EG6501",94,50
"EG6502",127,100
"EG6601",127,100
"EG6602",127,100
"EG6603",127,100
"EG6604",127,100
"EG6605",127,50
"EG6605",112,50
"EG6701",167,50
"EG6701",152,50
"EG6702",152,100
"EG6703",152,100
"EG6704",152,100
"EG6705",127,100
"EG6706",127,100
"EG68",134,100
"EG6901",127,100
"EG6902",127,100
"EG6903",127,100
"EG7001",152,100
"EG7002",152,100
"EG7003",152,100
"EG7004",152,100
"EG7005",127,50
"EG7005",123,50
"EG7101",150,100
"EG7102",150,100
"EG7103",150,100
"EG7104",150,100
"EG7105",150,100
"EG7106",150,100
"EG7107",150,100
"EG7108",150,100
"EG7109",154,100
"EG7110",149,100
"EG7111",149,100
"EG7112",149,100
"EG7113",149,100
"EG7114",149,100
"EG7115",149,100
"EG7116",156,100
"EG72",150,100
"EG7301",150,100
"EG7302",150,100
"EG7303",150,100
"EG74",93,100
"EG7501",93,100
"EG7502",93,100
"EG7503",93,100
"EG7504",93,100
"EG76",136,100
"EG77",136,100
"EG7801",93,100
"EG7802",93,100
"EG7803",93,100
"EG7804",93,100
"EG781",47,65
"EG781",94,30
"EG781",93,5
"EG782",93,1
"EG782",47,73
"EG782",135,1
"EG782",136,25
"EG79",146,1
"EG79",147,60
"EG79",148,30
"EG79",149,1
"EG79",150,1
"EG79",152,1
"EG79",154,1
"EG79",156,5
"EG8001",148,100
"EG8002",148,100
"EG8003",156,100
"EG8004",156,100
"EG8005",147,95
"EG8005",149,1
"EG8005",150,1
"EG8005",152,1
"EG8005",154,1
"EG8005",93,1
"EG8006",147,95
"EG8006",149,1
"EG8006",150,1
"EG8006",152,1
"EG8006",154,1
"EG8006",93,1
"EG8101",157,100
"EG8102",157,100
"EG82",79,33
"EG82",134,33
"EG82",146,33
"EG83",79,33
"EG83",134,33
"EG83",146,33
"EG8401",118,100
"EG8402",118,100
"EG8403",121,100
"EG8404",118,100
"EG8405",134,25
"EG8405",118,25
"EG8405",92,25
"EG8405",98,25
"EG8406",177,100
"EG8407",118,20
"EG8407",177,20
"EG8407",92,20
"EG8407",98,20
"EG8407",121,20
"EG8501",159,100
"EG8502",159,100
"EG8601",164,100
"EG8602",164,100
"EG8701",151,33
"EG8701",157,33
"EG8701",159,33
"EG8702",151,33
"EG8702",157,33
"EG8702",159,33
"EG8703",151,25
"EG8703",157,25
"EG8703",159,25
"EG8703",82,25
"EG8801",167,100
"EG8802",167,100
"EG8803",167,100
"EG8804",167,100
"EG8901",167,100
"EG8902",167,100
"EG8903",167,100
"EG8904",167,100
"EG9001",83,100
"EG9002",76,100
"EG9003",82,25
"EG9003",92,25
"EG9003",134,25
"EG9003",129,25
"EG9101",167,100
"EG9102",167,100
"EG9201",83,50
"EG9201",130,50
"EG9202",83,100
"EG9301",118,100
"EG9302",118,100
"EG94",130,100
"EG95",118,100
"EG9601",116,100
"EG9602",116,100
"EG9603",116,50
"EG9603",130,50
"EG9604",116,25
"EG9604",130,25
"EG9604",118,25
"EG9604",92,25
"EG97",133,100
"EG9801",177,100
"EG9802",177,100
"EG99",98,50
"EG99",134,50
"EG10001",20,100
"EG10002",134,100
"EG10003",61,15
"EG10003",2,5
"EG10003",3,5
"EG10003",6,5
"EG10003",7,32
"EG10003",8,5
"EG10003",5,1
"EG10003",49,10
"EG10003",42,10
"EG10003",22,2
"EG10003",28,5
"EG10003",29,5
"EG10004",20,100
"EG10005",20,100
"EG10006",20,50
"EG10006",134,50
"EG10101",17,100
"EG10102",85,100
"EG10103",108,33
"EG10103",85,33
"EG10103",113,33
"EG10201",174,100
"EG10202",174,100
"EG10203",174,33
"EG10203",178,33
"EG10203",130,33
"EG103",79,14
"EG103",177,14
"EG103",100,14
"EG103",132,14
"EG103",134,14
"EG103",146,14
"EG103",83,14
"EG104",173,90
"EG104",176,10
"EG105",176,50
"EG105",175,50
"EG10601",167,100
"EG10602",167,100
"EG10603",167,100
"EG10604",167,50
"EG10604",176,50
"EG10605",167,100
"EG10606",167,100
"EG107",176,10
"EG107",170,65
"EG107",180,25
"EG10801",83,100
"EG10802",83,100
"EG10803",83,100
"EG109",175,100
"EG11001",42,6
"EG11001",43,6
"EG11001",44,6
"EG11001",45,6
"EG11001",46,6
"EG11001",48,6
"EG11001",49,6
"EG11001",50,6
"EG11001",52,6
"EG11001",53,6
"EG11001",54,6
"EG11001",55,6
"EG11001",56,6
"EG11001",59,6
"EG11001",60,6
"EG11001",64,6
"EG11001",147,6
"EG11002",72,100
"EG11003",17,50
"EG11003",92,50
"EG11004",43,5
"EG11004",44,5
"EG11004",45,5
"EG11004",46,5
"EG11004",55,5
"EG11004",56,5
"EG11004",58,5
"EG11004",59,5
"EG11004",60,5
"EG11004",64,5
"EG11004",72,5
"EG11004",88,5
"EG11004",89,5
"EG11004",90,5
"EG11004",91,5
"EG11004",92,5
"EG11004",98,5
"EG11004",121,5
"EG11004",122,5
"EG11004",146,5
"EG11005",91,10
"EG11005",92,10
"EG11005",171,80
"EG111",147,59
"EG111",148,30
"EG111",176,5
"EG111",178,5
"EG111",164,1
"EG11201",,100
"EG11202",,60
"EG11202",160,38
