"GovtFunctionKey","ParentGovtFunctionKey","ThaiGovtFunctionName","EnglishGovtFunctionName","GovtFunctionSvcTypeKey"
"083","08","การกระจายเสียงและสิ่งพิมพ์","Broadcasting and publishing services",
"0830","083","การกระจายเสียงและสิ่งพิมพ์","Broadcasting and publishing services",1
"084","08","การศาสนาและบริการชุมชนอื่น","Religious and other community services",
"0840","084","การศาสนาและบริการชุมชนอื่น","Religious and other community services",1
"085","08","การวิจัยและการพัฒนาด้านการศาสนา วัฒนธรรมและนันทนาการ","R&D recreation, culture and religion",
"0850","085","การวิจัยและการพัฒนาด้านการศาสนา วัฒนธรรมและนันทนาการ","R&D recreation, culture and religion",1
"086","08","การศาสนา วัฒนธรรมและนันทนาการอื่น","Recreation, culture and religion n.e.c.",
"0860","086","การศาสนา วัฒนธรรมและนันทนาการอื่น","Recreation, culture and religion n.e.c.",1
"09",,"การศึกษา","Education",
"091","09","ระดับก่อนวัยเรียนและประถมศึกษา","Pre-primary and primary education",
"0911","091","ก่อนวัยเรียน","Pre-primary education",2
"0912","091","การประถมศึกษา","Primary education",2
"092","09","ระดับมัธยมศึกษา","Secondary education",
"0921","092","มัธยมศึกษาตอนต้น","Lower-secondary education",2
"0922","092","มัธยมศึกษาตอนปลาย","Upper-secondary education",2
"093","09","ระดับสูงกว่ามัธยมศึกษา","Post-secondary non-tertiary education",
"0930","093","ระดับสูงกว่ามัธยมศึกษา","Post-secondary non-tertiary education",2
"094","09","ระดับอุดมศึกษา","Tertiary education",
"0941","094","อุดมศึกษาตอนปลาย","First stage of tertiary education",2
"0942","094","อุดมศึกษาตอนต้น","Second stage of tertiary education",2
"095","09","การศึกษาไม่กำหนดระดับ","Education not definable by level",
"0950","095","การศึกษาไม่กำหนดระดับ","Education not definable by level",2
"096","09","การบริการสนับสนุนการศึกษา","Subsidiary services to education",
"0960","096","การบริการสนับสนุนการศึกษา","Subsidiary services to education",2
"097","09","การวิจัยและการพัฒนาด้านการศึกษา","R&D education",
"0970","097","การวิจัยและการพัฒนาด้านการศึกษา","R&D education",1
"098","09","การศึกษาอื่น","Education n.e.c.",
"0980","098","การศึกษาอื่น","Education n.e.c.",1
"10",,"การสังคมสงเคราะห์","Social protection",
"101","10","การประกันสังคม","Sickness and disability",
"1011","101","เงินทดแทนการเจ็บป่วย","Sickness",2
"1012","101","เงินทดแทนแก่คนพิการ","Disability",2
"102","10","สวัสดิการผู้สูงอายุ","Old age",
"1020","102","สวัสดิการผู้สูงอายุ","Old age",2
"103","10","เงินทดแทนแก่ทายาทของผู้ได้รับสิทธิจากประกันสังคม","Survivors",
"1030","103","เงินทดแทนแก่ทายาทของผู้ได้รับสิทธิจากประกันสังคม","Survivors",2
"104","10","เงินช่วยเหลือครอบครัวและบุตร","Family and children",
"1040","104","เงินช่วยเหลือครอบครัวและบุตร","Family and children",2
"105","10","เงินทดแทนการตกงาน","Unemployment",
"1050","105","เงินทดแทนการตกงาน","Unemployment",2
"106","10","การสงเคราะห์ด้านที่อยู่อาศัย","Housing",
"1060","106","การสงเคราะห์ด้านที่อยู่อาศัย","Housing",2
"107","10","สวัสดิการสังคมอื่น","Social exclusion n.e.c.",
"1070","107","สวัสดิการสังคมอื่น","Social exclusion n.e.c.",2
"108","10","การวิจัยและการพัฒนาด้านการสังคมสงเคราะห์","R&D social protection",
"1080","108","การวิจัยและการพัฒนาด้านการสังคมสงเคราะห์","R&D social protection",1
"109","10","การสังคมสงเคราะห์อื่น","Social protection n.e.c.",
"1090","109","การสังคมสงเคราะห์อื่น","Social protection n.e.c.",1
