ExpenditureKey,ThaiExpenditureName,EnglishExpenditureName,ExpenditureGroup1Key,ThaiExpenditureGroup1Name,EnglishExpenditureGroup1Name,ExpenditureGroup2Key,ThaiExpenditureGroup2Name,EnglishExpenditureGroup2Name,ExpenditureGroup3Key,ThaiExpenditureGroup3Name,EnglishExpenditureGroup3Name,ExpenditureGroup4Key,ThaiExpenditureGroup4Name,EnglishExpenditureGroup4Name,ExpenditureGroup5Key,ThaiExpenditureGroup5Name,EnglishExpenditureGroup5Name
EG3020BC,เสื้อเชิ้ตหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Female (age 13 yrs and over): Shirt (in-kind),EG3020BC,เสื้อเชิ้ตหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Female (age 13 yrs and over): Shirt (in-kind),EG30BC,เสื้อ กระโปรง และกางเกงทุกประเภท (สิ่งของ),"Clothes, skirts and trousers/ pants (in-kind)",EGA_401,เสื้อ กระโปรง และกางเกงทุกประเภท,"Clothes, skirts and trousers/pants",EGA_4,ค่าใช้จ่ายเกี่ยวกับผ้า เสื้อผ้า และเครื่องแต่งกาย,"Cloth, clothes and clothing material",EGA,ค่าใช้จ่ายอุปโภคบริโภคของครัวเรือน,Consumption expenditures
EG3021A,เสื้อยืด/เสื้อโปโลหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Female (age 13 yrs and over): T-shirt / Polo shirt (cash),EG3021A,เสื้อยืด/เสื้อโปโลหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Female (age 13 yrs and over): T-shirt / Polo shirt (cash),EG30A,เสื้อ กระโปรง และกางเกงทุกประเภท (ตัวเงิน),"Clothes, skirts and trousers/ pants (cash)",EGA_401,เสื้อ กระโปรง และกางเกงทุกประเภท,"Clothes, skirts and trousers/pants",EGA_4,ค่าใช้จ่ายเกี่ยวกับผ้า เสื้อผ้า และเครื่องแต่งกาย,"Cloth, clothes and clothing material",EGA,ค่าใช้จ่ายอุปโภคบริโภคของครัวเรือน,Consumption expenditures
EG3021BC,เสื้อยืด/เสื้อโปโลหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Female (age 13 yrs and over): T-shirt / Polo shirt (in-kind),EG3021BC,เสื้อยืด/เสื้อโปโลหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Female (age 13 yrs and over): T-shirt / Polo shirt (in-kind),EG30BC,เสื้อ กระโปรง และกางเกงทุกประเภท (สิ่งของ),"Clothes, skirts and trousers/ pants (in-kind)",EGA_401,เสื้อ กระโปรง และกางเกงทุกประเภท,"Clothes, skirts and trousers/pants",EGA_4,ค่าใช้จ่ายเกี่ยวกับผ้า เสื้อผ้า และเครื่องแต่งกาย,"Cloth, clothes and clothing material",EGA,ค่าใช้จ่ายอุปโภคบริโภคของครัวเรือน,Consumption expenditures
EG3022A,กางเกงขาสั้น/ขายาว/กระโปรงหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Female (age 13 yrs and over): Shorts / Trousers / Pants / Skirt (cash),EG3022A,กางเกงขาสั้น/ขายาว/กระโปรงหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Female (age 13 yrs and over): Shorts / Trousers / Pants / Skirt (cash),EG30A,เสื้อ กระโปรง และกางเกงทุกประเภท (ตัวเงิน),"Clothes, skirts and trousers/ pants (cash)",EGA_401,เสื้อ กระโปรง และกางเกงทุกประเภท,"Clothes, skirts and trousers/pants",EGA_4,ค่าใช้จ่ายเกี่ยวกับผ้า เสื้อผ้า และเครื่องแต่งกาย,"Cloth, clothes and clothing material",EGA,ค่าใช้จ่ายอุปโภคบริโภคของครัวเรือน,Consumption expenditures
EG3022BC,กางเกงขาสั้น/ขายาว/กระโปรงหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Female (age 13 yrs and over): Shorts / Trousers / Pants / Skirt (in-kind),EG3022BC,กางเกงขาสั้น/ขายาว/กระโปรงหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Female (age 13 yrs and over): Shorts / Trousers / Pants / Skirt (in-kind),EG30BC,เสื้อ กระโปรง และกางเกงทุกประเภท (สิ่งของ),"Clothes, skirts and trousers/ pants (in-kind)",EGA_401,เสื้อ กระโปรง และกางเกงทุกประเภท,"Clothes, skirts and trousers/pants",EGA_4,ค่าใช้จ่ายเกี่ยวกับผ้า เสื้อผ้า และเครื่องแต่งกาย,"Cloth, clothes and clothing material",EGA,ค่าใช้จ่ายอุปโภคบริโภคของครัวเรือน,Consumption expenditures
EG3023A,เสื้อแจ็กเก็ต/เสื้อผ้าร่ม/เสื้อกันหนาวหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Female (age 13 yrs and over): Jacket / Overcoat / Sweater (cash),EG3023A,เสื้อแจ็กเก็ต/เสื้อผ้าร่ม/เสื้อกันหนาวหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Female (age 13 yrs and over): Jacket / Overcoat / Sweater (cash),EG30A,เสื้อ กระโปรง และกางเกงทุกประเภท (ตัวเงิน),"Clothes, skirts and trousers/ pants (cash)",EGA_401,เสื้อ กระโปรง และกางเกงทุกประเภท,"Clothes, skirts and trousers/pants",EGA_4,ค่าใช้จ่ายเกี่ยวกับผ้า เสื้อผ้า และเครื่องแต่งกาย,"Cloth, clothes and clothing material",EGA,ค่าใช้จ่ายอุปโภคบริโภคของครัวเรือน,Consumption expenditures
EG3023BC,เสื้อแจ็กเก็ต/เสื้อผ้าร่ม/เสื้อกันหนาวหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Female (age 13 yrs and over): Jacket / Overcoat / Sweater (in-kind),EG3023BC,เสื้อแจ็กเก็ต/เสื้อผ้าร่ม/เสื้อกันหนาวหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Female (age 13 yrs and over): Jacket / Overcoat / Sweater (in-kind),EG30BC,เสื้อ กระโปรง และกางเกงทุกประเภท (สิ่งของ),"Clothes, skirts and trousers/ pants (in-kind)",EGA_401,เสื้อ กระโปรง และกางเกงทุกประเภท,"Clothes, skirts and trousers/pants",EGA_4,ค่าใช้จ่ายเกี่ยวกับผ้า เสื้อผ้า และเครื่องแต่งกาย,"Cloth, clothes and clothing material",EGA,ค่าใช้จ่ายอุปโภคบริโภคของครัวเรือน,Consumption expenditures
EG3024A,ชุดนอนหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Female (age 13 yrs and over): Sleepwear (cash),EG3024A,ชุดนอนหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Female (age 13 yrs and over): Sleepwear (cash),EG30A,เสื้อ กระโปรง และกางเกงทุกประเภท (ตัวเงิน),"Clothes, skirts and trousers/ pants (cash)",EGA_401,เสื้อ กระโปรง และกางเกงทุกประเภท,"Clothes, skirts and trousers/pants",EGA_4,ค่าใช้จ่ายเกี่ยวกับผ้า เสื้อผ้า และเครื่องแต่งกาย,"Cloth, clothes and clothing material",EGA,ค่าใช้จ่ายอุปโภคบริโภคของครัวเรือน,Consumption expenditures
EG3024BC,ชุดนอนหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Female (age 13 yrs and over): Sleepwear (in-kind),EG3024BC,ชุดนอนหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Female (age 13 yrs and over): Sleepwear (in-kind),EG30BC,เสื้อ กระโปรง และกางเกงทุกประเภท (สิ่งของ),"Clothes, skirts and trousers/ pants (in-kind)",EGA_401,เสื้อ กระโปรง และกางเกงทุกประเภท,"Clothes, skirts and trousers/pants",EGA_4,ค่าใช้จ่ายเกี่ยวกับผ้า เสื้อผ้า และเครื่องแต่งกาย,"Cloth, clothes and clothing material",EGA,ค่าใช้จ่ายอุปโภคบริโภคของครัวเรือน,Consumption expenditures
EG3025A,อื่น ๆ หญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Female (age 13 yrs and over): Others (cash),EG3025A,อื่น ๆ หญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Female (age 13 yrs and over): Others (cash),EG30A,เสื้อ กระโปรง และกางเกงทุกประเภท (ตัวเงิน),"Clothes, skirts and trousers/ pants (cash)",EGA_401,เสื้อ กระโปรง และกางเกงทุกประเภท,"Clothes, skirts and trousers/pants",EGA_4,ค่าใช้จ่ายเกี่ยวกับผ้า เสื้อผ้า และเครื่องแต่งกาย,"Cloth, clothes and clothing material",EGA,ค่าใช้จ่ายอุปโภคบริโภคของครัวเรือน,Consumption expenditures
