ExpenditureKey,ThaiExpenditureName,EnglishExpenditureName,ExpenditureGroup1Key,ThaiExpenditureGroup1Name,EnglishExpenditureGroup1Name,ExpenditureGroup2Key,ThaiExpenditureGroup2Name,EnglishExpenditureGroup2Name,ExpenditureGroup3Key,ThaiExpenditureGroup3Name,EnglishExpenditureGroup3Name,ExpenditureGroup4Key,ThaiExpenditureGroup4Name,EnglishExpenditureGroup4Name
EF0111BC,เส้นหมี่ (สิ่งของ),Noodles (in-kind),EF0111BC,เส้นหมี่ (สิ่งของ),Noodles (in-kind),EF01BC,ข้าว แป้ง และอาหารที่ทำจากแป้ง (สิ่งของ),"Rice, Starch and Carbohydrate products (in-kind)",EF_1,ข้าว แป้ง และอาหารที่ทำจากแป้ง,"Rice, Starch and Carbohydrate products",EFA,ค่าใช้จ่ายอาหารและเครื่องดื่ม,Expenditure on food and beverages
EF0112A,วุ้นเส้น (ตัวเงิน),Vermicelli (cash),EF0112A,วุ้นเส้น (ตัวเงิน),Vermicelli (cash),EF01A,ข้าว แป้ง และอาหารที่ทำจากแป้ง (ตัวเงิน),"Rice, Starch and Carbohydrate products (cash)",EF_1,ข้าว แป้ง และอาหารที่ทำจากแป้ง,"Rice, Starch and Carbohydrate products",EFA,ค่าใช้จ่ายอาหารและเครื่องดื่ม,Expenditure on food and beverages
EF0112BC,วุ้นเส้น (สิ่งของ),Vermicelli (in-kind),EF0112BC,วุ้นเส้น (สิ่งของ),Vermicelli (in-kind),EF01BC,ข้าว แป้ง และอาหารที่ทำจากแป้ง (สิ่งของ),"Rice, Starch and Carbohydrate products (in-kind)",EF_1,ข้าว แป้ง และอาหารที่ทำจากแป้ง,"Rice, Starch and Carbohydrate products",EFA,ค่าใช้จ่ายอาหารและเครื่องดื่ม,Expenditure on food and beverages
EF0113A,เต้าหู้ (ตัวเงิน),Soybean curd (cash),EF0113A,เต้าหู้ (ตัวเงิน),Soybean curd (cash),EF01A,ข้าว แป้ง และอาหารที่ทำจากแป้ง (ตัวเงิน),"Rice, Starch and Carbohydrate products (cash)",EF_1,ข้าว แป้ง และอาหารที่ทำจากแป้ง,"Rice, Starch and Carbohydrate products",EFA,ค่าใช้จ่ายอาหารและเครื่องดื่ม,Expenditure on food and beverages
EF0113BC,เต้าหู้ (สิ่งของ),Soybean curd (in-kind),EF0113BC,เต้าหู้ (สิ่งของ),Soybean curd (in-kind),EF01BC,ข้าว แป้ง และอาหารที่ทำจากแป้ง (สิ่งของ),"Rice, Starch and Carbohydrate products (in-kind)",EF_1,ข้าว แป้ง และอาหารที่ทำจากแป้ง,"Rice, Starch and Carbohydrate products",EFA,ค่าใช้จ่ายอาหารและเครื่องดื่ม,Expenditure on food and beverages
EF0114A,สาคู และอาหารอื่น ๆ ที่ทำจากแป้ง (ระบุ) (ตัวเงิน),Sago and other flour foods (specify) (cash),EF0114A,สาคู และอาหารอื่น ๆ ที่ทำจากแป้ง (ระบุ) (ตัวเงิน),Sago and other flour foods (specify) (cash),EF01A,ข้าว แป้ง และอาหารที่ทำจากแป้ง (ตัวเงิน),"Rice, Starch and Carbohydrate products (cash)",EF_1,ข้าว แป้ง และอาหารที่ทำจากแป้ง,"Rice, Starch and Carbohydrate products",EFA,ค่าใช้จ่ายอาหารและเครื่องดื่ม,Expenditure on food and beverages
EF0114BC,สาคู และอาหารอื่น ๆ ที่ทำจากแป้ง (ระบุ) (สิ่งของ),Sago and other flour foods (specify) (in-kind),EF0114BC,สาคู และอาหารอื่น ๆ ที่ทำจากแป้ง (ระบุ) (สิ่งของ),Sago and other flour foods (specify) (in-kind),EF01BC,ข้าว แป้ง และอาหารที่ทำจากแป้ง (สิ่งของ),"Rice, Starch and Carbohydrate products (in-kind)",EF_1,ข้าว แป้ง และอาหารที่ทำจากแป้ง,"Rice, Starch and Carbohydrate products",EFA,ค่าใช้จ่ายอาหารและเครื่องดื่ม,Expenditure on food and beverages
EF0201A,เนื้อหมูสด (ทุกประเภท ยกเว้นเครื่องใน) (ตัวเงิน),Fresh pork (all types except offal) (cash),EF0201A,เนื้อหมูสด (ทุกประเภท ยกเว้นเครื่องใน) (ตัวเงิน),Fresh pork (all types except offal) (cash),EF02A,เนื้อสัตว์ และสัตว์ปีกทุกชนิด (ตัวเงิน),Meat and poultry (cash),EF_2,เนื้อสัตว์ และสัตว์ปีกทุกชนิด,Meat and Poultry,EFA,ค่าใช้จ่ายอาหารและเครื่องดื่ม,Expenditure on food and beverages
EF0201BC,เนื้อหมูสด (ทุกประเภท ยกเว้นเครื่องใน) (สิ่งของ),Fresh pork (all types except offal) (in-kind),EF0201BC,เนื้อหมูสด (ทุกประเภท ยกเว้นเครื่องใน) (สิ่งของ),Fresh pork (all types except offal) (in-kind),EF02BC,เนื้อสัตว์ และสัตว์ปีกทุกชนิด (สิ่งของ),Meat and poultry (in-kind),EF_2,เนื้อสัตว์ และสัตว์ปีกทุกชนิด,Meat and Poultry,EFA,ค่าใช้จ่ายอาหารและเครื่องดื่ม,Expenditure on food and beverages
EF0202A,เครื่องในหมูสด (ตัวเงิน),Fresh pork offal (cash),EF0202A,เครื่องในหมูสด (ตัวเงิน),Fresh pork offal (cash),EF02A,เนื้อสัตว์ และสัตว์ปีกทุกชนิด (ตัวเงิน),Meat and poultry (cash),EF_2,เนื้อสัตว์ และสัตว์ปีกทุกชนิด,Meat and Poultry,EFA,ค่าใช้จ่ายอาหารและเครื่องดื่ม,Expenditure on food and beverages
